kegg_drug,drug_name,match_type,plant_ids,pubchem_cids,plant_names,plant_names_ar,atc_codes,atc_class,confidence,primary_drug_name,synonyms,plant_ids_list,plant_names_list,plant_names_ar_list,atc_codes_clean,atc_codes_list
D07477,Atropine oxide (INN); Apitropin (TN),partial,P06,,Atropa belladonna,ست الحسن,,,medium,Atropine oxide,Apitropin,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D07477,Atropine oxide (INN); Apitropin (TN),partial,P08,,Datura stramonium,داتورة,,,medium,Atropine oxide,Apitropin,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D07511,Benzatropine (INN); Benztropine,partial,P06,,Atropa belladonna,ست الحسن,N04AC01,الجهاز العصبي,medium,Benzatropine,Benztropine,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",N04AC01,['N04AC01']
D07511,Benzatropine (INN); Benztropine,partial,P08,,Datura stramonium,داتورة,N04AC01,الجهاز العصبي,medium,Benzatropine,Benztropine,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",N04AC01,['N04AC01']
D07545,Brovincamine (INN); Sarbromin (TN),partial,P02,,Vinca minor,ونكة صغرى,,,medium,Brovincamine,Sarbromin,['P02'],['Vinca minor'],['ونكة صغرى'],Unclassified,['Unclassified']
D07555,Acetyldigoxin; Cedigossima (TN),partial,P09,,Digitalis lanata,ديجيتال,C01AA02,القلب والأوعية,low,Acetyldigoxin,Cedigossima,['P09'],['Digitalis lanata'],['ديجيتال'],C01AA02,['C01AA02']
D07556,beta-Acetyldigoxin; Acetyldigoxin beta isomer; Corotal (TN),partial,P09,,Digitalis lanata,ديجيتال,,,low,beta-Acetyldigoxin,Acetyldigoxin beta isomer; Corotal,['P09'],['Digitalis lanata'],['ديجيتال'],Unclassified,['Unclassified']
D07557,O-Acetyldihydrocodeine hydrochloride; Acetylcodone (TN),partial,P10,,Papaver somniferum,خشخاش منوم,R05DA12,الجهاز التنفسي,low,O-Acetyldihydrocodeine hydrochloride,Acetylcodone,['P10'],['Papaver somniferum'],['خشخاش منوم'],R05DA12,['R05DA12']
D07740,Codeine hydrochloride; Bisoltus (TN),exact,P10,,Papaver somniferum,خشخاش منوم,R05DA04,الجهاز التنفسي,high,Codeine hydrochloride,Bisoltus,['P10'],['Papaver somniferum'],['خشخاش منوم'],R05DA04,['R05DA04']
D07810,Diacetylmorphine hydrochloride; Diamorphine hydrochloride; Heroin hydrochloride,partial,P10,,Papaver somniferum,خشخاش منوم,N07BC06,الجهاز العصبي,medium,Diacetylmorphine hydrochloride,Diamorphine hydrochloride; Heroin hydrochloride,['P10'],['Papaver somniferum'],['خشخاش منوم'],N07BC06,['N07BC06']
D07831,Dihydrocodeine (INN); Remedacen (TN),partial,P10,,Papaver somniferum,خشخاش منوم,N02AA08,الجهاز العصبي,low,Dihydrocodeine,Remedacen,['P10'],['Papaver somniferum'],['خشخاش منوم'],N02AA08,['N02AA08']
D07832,Dihydrocodeine thiocyanate; Paracodin (TN),partial,P10,,Papaver somniferum,خشخاش منوم,N02AA08,الجهاز العصبي,low,Dihydrocodeine thiocyanate,Paracodin,['P10'],['Papaver somniferum'],['خشخاش منوم'],N02AA08,['N02AA08']
D07929,Ethylmorphine (BAN),partial,P10,,Papaver somniferum,خشخاش منوم,R05DA01;S01XA06,الجهاز التنفسي;الحواس,low,Ethylmorphine,,['P10'],['Papaver somniferum'],['خشخاش منوم'],R05DA01;S01XA06,"['R05DA01', 'S01XA06']"
D08233,Morphine (BAN); Substitol (TN),exact,P10,,Papaver somniferum,خشخاش منوم,N02AA01,الجهاز العصبي,high,Morphine,Substitol,['P10'],['Papaver somniferum'],['خشخاش منوم'],N02AA01,['N02AA01']
D08234,Morphine tartrate,exact,P10,,Papaver somniferum,خشخاش منوم,N02AA01,الجهاز العصبي,high,Morphine tartrate,,['P10'],['Papaver somniferum'],['خشخاش منوم'],N02AA01,['N02AA01']
D08273,Nicomorphine hydrochloride; Vilan (TN),partial,P10,,Papaver somniferum,خشخاش منوم,N02AA04,الجهاز العصبي,medium,Nicomorphine hydrochloride,Vilan,['P10'],['Papaver somniferum'],['خشخاش منوم'],N02AA04,['N02AA04']
D08675,Vinblastine (INN),exact,P01,,Catharanthus roseus,ونكة مدغشقرية,L01CA01,الأورام والمناعة,high,Vinblastine,,['P01'],['Catharanthus roseus'],['ونكة مدغشقرية'],L01CA01,['L01CA01']
D08677,Vincamine (INN); Cetal retard (TN),exact,P02,,Vinca minor,ونكة صغرى,C04AX07,القلب والأوعية,high,Vincamine,Cetal retard,['P02'],['Vinca minor'],['ونكة صغرى'],C04AX07,['C04AX07']
D08678,Vincamine hydrochloride; Vadicate (TN),exact,P02,,Vinca minor,ونكة صغرى,C04AX07,القلب والأوعية,high,Vincamine hydrochloride,Vadicate,['P02'],['Vinca minor'],['ونكة صغرى'],C04AX07,['C04AX07']
D08679,Vincristine (INN); Tecnocris (TN),exact,P01,,Catharanthus roseus,ونكة مدغشقرية,L01CA02,الأورام والمناعة,high,Vincristine,Tecnocris,['P01'],['Catharanthus roseus'],['ونكة مدغشقرية'],L01CA02,['L01CA02']
D08695,"dl-Methylephedrine hydrochloride, dihydrocodeine phosphate, diprophylline, diphenhydramine salicylate, acetaminophen and bromovalerylurea; Coughcode N (TN)",partial,P10,,Papaver somniferum,خشخاش منوم,N02AA58,الجهاز العصبي,low,"dl-Methylephedrine hydrochloride, dihydrocodeine phosphate, diprophylline, diphenhydramine salicylate, acetaminophen and bromovalerylurea",Coughcode N,['P10'],['Papaver somniferum'],['خشخاش منوم'],N02AA58,['N02AA58']
D08697,"Platycodon fluidextract, glycyrrhiza extract, plantago herb extract, peony root extract and dihydrocodeine phosphate; Opisezol codeine (TN)",partial,P10,,Papaver somniferum,خشخاش منوم,,,low,"Platycodon fluidextract, glycyrrhiza extract, plantago herb extract, peony root extract and dihydrocodeine phosphate",Opisezol codeine,['P10'],['Papaver somniferum'],['خشخاش منوم'],Unclassified,['Unclassified']
D08706,"l-Menthol, cinnamon bark, gentian, zanthoxylum fruit, ginger and sodium bicarbonate; Biasan (TN)",partial,P13,,Mentha piperita,نعناع فلفلي,,,medium,"l-Menthol, cinnamon bark, gentian, zanthoxylum fruit, ginger and sodium bicarbonate",Biasan,['P13'],['Mentha piperita'],['نعناع فلفلي'],Unclassified,['Unclassified']
D08707,"l-Menthol, gentian, scopolia extract powder and sodium bicarbonate; Bellsan (TN)",partial,P13,,Mentha piperita,نعناع فلفلي,,,medium,"l-Menthol, gentian, scopolia extract powder and sodium bicarbonate",Bellsan,['P13'],['Mentha piperita'],['نعناع فلفلي'],Unclassified,['Unclassified']
D08715,"dl-Camphor, dl-menthol, methyl salicylate and diphenhydramine; Salymetick S (TN)",partial,P13,,Mentha piperita,نعناع فلفلي,,,low,"dl-Camphor, dl-menthol, methyl salicylate and diphenhydramine",Salymetick S,['P13'],['Mentha piperita'],['نعناع فلفلي'],Unclassified,['Unclassified']
D08716,"dl-Camphor, l-menthol, glycyrrhetinic acid and methyl salicylate; Stick zenol A (TN)",partial,P13,,Mentha piperita,نعناع فلفلي,,,low,"dl-Camphor, l-menthol, glycyrrhetinic acid and methyl salicylate",Stick zenol A,['P13'],['Mentha piperita'],['نعناع فلفلي'],Unclassified,['Unclassified']
D08717,"dl-Camphor, l-menthol, glycol salicylate, methyl salicylate, diphenhydramine and benzyl nicotinate; Hiship (TN)",partial,P13,,Mentha piperita,نعناع فلفلي,,,low,"dl-Camphor, l-menthol, glycol salicylate, methyl salicylate, diphenhydramine and benzyl nicotinate",Hiship,['P13'],['Mentha piperita'],['نعناع فلفلي'],Unclassified,['Unclassified']
D08718,"dl-Camphor, l-menthol and methyl salicylate; Mirusart (TN)",partial,P13,,Mentha piperita,نعناع فلفلي,,,low,"dl-Camphor, l-menthol and methyl salicylate",Mirusart,['P13'],['Mentha piperita'],['نعناع فلفلي'],Unclassified,['Unclassified']
D08719,"dl-Camphor, l-menthol, methyl salicylate, diphenhydramine, nonanoic acid vanillylamide and mentha oil; Halihot (TN)",partial,P13,,Mentha piperita,نعناع فلفلي,,,low,"dl-Camphor, l-menthol, methyl salicylate, diphenhydramine, nonanoic acid vanillylamide and mentha oil",Halihot,['P13'],['Mentha piperita'],['نعناع فلفلي'],Unclassified,['Unclassified']
D08720,"dl-Camphor, l-menthol, methyl salicylate and diphenhydramine hydrochloride; Pastellhap (TN)",partial,P13,,Mentha piperita,نعناع فلفلي,,,low,"dl-Camphor, l-menthol, methyl salicylate and diphenhydramine hydrochloride",Pastellhap,['P13'],['Mentha piperita'],['نعناع فلفلي'],Unclassified,['Unclassified']
D08721,"dl-Camphor, l-menthol, methyl salicylate, thymol and mentha oil; Kyupap M (TN)",partial,P13,,Mentha piperita,نعناع فلفلي,,,low,"dl-Camphor, l-menthol, methyl salicylate, thymol and mentha oil",Kyupap M,['P13'],['Mentha piperita'],['نعناع فلفلي'],Unclassified,['Unclassified']
D08722,"dl-Camphor, l-menthol, methyl salicylate and mentha oil; Asmoroll (TN)",partial,P13,,Mentha piperita,نعناع فلفلي,,,low,"dl-Camphor, l-menthol, methyl salicylate and mentha oil",Asmoroll,['P13'],['Mentha piperita'],['نعناع فلفلي'],Unclassified,['Unclassified']
D08728,l-Menthol and glycol salicylate; ES plasta (TN),partial,P13,,Mentha piperita,نعناع فلفلي,,,medium,l-Menthol and glycol salicylate,ES plasta,['P13'],['Mentha piperita'],['نعناع فلفلي'],Unclassified,['Unclassified']
D09186,Neostigmine methylsulfate and atropine sulfate; Atvagoreverse (TN),partial,P06,,Atropa belladonna,ست الحسن,N07AA51,الجهاز العصبي,low,Neostigmine methylsulfate and atropine sulfate,Atvagoreverse,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",N07AA51,['N07AA51']
D09186,Neostigmine methylsulfate and atropine sulfate; Atvagoreverse (TN),partial,P08,,Datura stramonium,داتورة,N07AA51,الجهاز العصبي,low,Neostigmine methylsulfate and atropine sulfate,Atvagoreverse,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",N07AA51,['N07AA51']
D09847,Metildigoxin (INN); Medigoxin (BAN),partial,P09,,Digitalis lanata,ديجيتال,C01AA08,القلب والأوعية,medium,Metildigoxin,Medigoxin,['P09'],['Digitalis lanata'],['ديجيتال'],C01AA08,['C01AA08']
D10449,Ibuprofen and scopolamine butylbromide,partial,P07,,Hyoscyamus muticus,سكران مصري,A03DB04,الجهاز الهضمي والأيض,medium,Ibuprofen and scopolamine butylbromide,,"['P07', 'P08']","['Hyoscyamus muticus', 'Datura stramonium']","['سكران مصري', 'داتورة']",A03DB04,['A03DB04']
D10449,Ibuprofen and scopolamine butylbromide,partial,P08,,Datura stramonium,داتورة,A03DB04,الجهاز الهضمي والأيض,medium,Ibuprofen and scopolamine butylbromide,,"['P07', 'P08']","['Hyoscyamus muticus', 'Datura stramonium']","['سكران مصري', 'داتورة']",A03DB04,['A03DB04']
D11076,Homatropine meylbromide and hydrocodone; Tussigon (TN),partial,P06,,Atropa belladonna,ست الحسن,,,medium,Homatropine meylbromide and hydrocodone,Tussigon,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D11076,Homatropine meylbromide and hydrocodone; Tussigon (TN),partial,P08,,Datura stramonium,داتورة,,,medium,Homatropine meylbromide and hydrocodone,Tussigon,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D11587,"Carisoprodol, aspirin and codeine phosphate",partial,P10,,Papaver somniferum,خشخاش منوم,,,medium,"Carisoprodol, aspirin and codeine phosphate",,['P10'],['Papaver somniferum'],['خشخاش منوم'],Unclassified,['Unclassified']
D11670,Morphine sulfate and naltrexone hydrochloride; Embeda (TN),partial,P10,,Papaver somniferum,خشخاش منوم,,,medium,Morphine sulfate and naltrexone hydrochloride,Embeda,['P10'],['Papaver somniferum'],['خشخاش منوم'],Unclassified,['Unclassified']
D11851,"Butalbital, acetaminophen, caffeine and codeine phosphate",partial,P10,,Papaver somniferum,خشخاش منوم,,,medium,"Butalbital, acetaminophen, caffeine and codeine phosphate",,['P10'],['Papaver somniferum'],['خشخاش منوم'],Unclassified,['Unclassified']
D11852,Codeine and promethazine,partial,P10,,Papaver somniferum,خشخاش منوم,,,medium,Codeine and promethazine,,['P10'],['Papaver somniferum'],['خشخاش منوم'],Unclassified,['Unclassified']
D11860,"Butalbital, aspirin, caffeine and codeine; Fiorinal with codeine (TN)",partial,P10,,Papaver somniferum,خشخاش منوم,,,medium,"Butalbital, aspirin, caffeine and codeine",Fiorinal with codeine,['P10'],['Papaver somniferum'],['خشخاش منوم'],Unclassified,['Unclassified']
D12138,"Promethazine hydrochloride, phenylephrine hydrochloride and codeine phosphate; Phenergan vc w/ codeine (TN); Pherazine vc w/ codeine (TN); Prometh vc w/ codeine (TN)",partial,P10,,Papaver somniferum,خشخاش منوم,S01GA55,الحواس,medium,"Promethazine hydrochloride, phenylephrine hydrochloride and codeine phosphate",Phenergan vc w/ codeine; Pherazine vc w/ codeine; Prometh vc w/ codeine,['P10'],['Papaver somniferum'],['خشخاش منوم'],S01GA55,['S01GA55']
D12295,"Acetaminophen, caffeine and dihydrocodeine bitartrate; Trezix (TN)",partial,P10,,Papaver somniferum,خشخاش منوم,,,low,"Acetaminophen, caffeine and dihydrocodeine bitartrate",Trezix,['P10'],['Papaver somniferum'],['خشخاش منوم'],Unclassified,['Unclassified']
D12312,Codeine phosphate and chlorpheniramine maleate; Tuxarin (TN),partial,P10,,Papaver somniferum,خشخاش منوم,R05DA20,الجهاز التنفسي,medium,Codeine phosphate and chlorpheniramine maleate,Tuxarin,['P10'],['Papaver somniferum'],['خشخاش منوم'],R05DA20,['R05DA20']
D12313,Chlorpheniramine polistirex and codeine polistirex; Tuzistra (TN),partial,P10,,Papaver somniferum,خشخاش منوم,R06AB54,الجهاز التنفسي,low,Chlorpheniramine polistirex and codeine polistirex,Tuzistra,['P10'],['Papaver somniferum'],['خشخاش منوم'],R06AB54,['R06AB54']
D12670,Desomorphine (INN),partial,P10,,Papaver somniferum,خشخاش منوم,,,low,Desomorphine,,['P10'],['Papaver somniferum'],['خشخاش منوم'],Unclassified,['Unclassified']
D12689,Methyldihydromorphine (INN),partial,P10,,Papaver somniferum,خشخاش منوم,,,low,Methyldihydromorphine,,['P10'],['Papaver somniferum'],['خشخاش منوم'],Unclassified,['Unclassified']
D12759,Atropine and pralidoxime chloride; Atnaa (TN); Duodote (TN),partial,P06,,Atropa belladonna,ست الحسن,V03AB54,متنوع,medium,Atropine and pralidoxime chloride,Atnaa; Duodote,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",V03AB54,['V03AB54']
D12759,Atropine and pralidoxime chloride; Atnaa (TN); Duodote (TN),partial,P08,,Datura stramonium,داتورة,V03AB54,متنوع,medium,Atropine and pralidoxime chloride,Atnaa; Duodote,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",V03AB54,['V03AB54']
D08735,Visnadine (INN),curated,P04,,Ammi visnaga,خلة بلدي,,,high,Visnadine,,['P04'],['Ammi visnaga'],['خلة بلدي'],Unclassified,['Unclassified']
D08515,Silibinin (INN); Silymarin I; Legalon (TN),curated,P03,,Silybum marianum,شوك الجمل / خرفيش,,,high,Silibinin,Silymarin I; Legalon,['P03'],['Silybum marianum'],['شوك الجمل / خرفيش'],Unclassified,['Unclassified']
D09135,Fenugreek seed,curated,P15,,Trigonella foenum-graecum,حلبة,,,high,Fenugreek seed,,['P15'],['Trigonella foenum-graecum'],['حلبة'],Unclassified,['Unclassified']
D06462,Castor oil (JP19/USP),curated,P19,,Ricinus communis,خروع,,,high,Castor oil,,['P19'],['Ricinus communis'],['خروع'],Unclassified,['Unclassified']
D03418,Aromatic castor oil (JP19),curated,P19,,Ricinus communis,خروع,,,medium,Aromatic castor oil,,['P19'],['Ricinus communis'],['خروع'],Unclassified,['Unclassified']
